Year,Author,Title,Experiment/Investigation Number,LogArea,Species Number,Depth,LogIBP,LogVolume,pH,LogCond,LogP,Terrestrial/Aquatic,Lab/In-Situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,22,2.015443588,17,1,0.458226974,2.015443588,9.63,3.310480891,2.69019608,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,23,1.292809665,15,1,0.096910013,1.292809665,9.19,3.286231854,3.139879086,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,24,0.247052175,18,0.3,-0.948847478,-0.27582657,8.25,3.192567453,3.439332694,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,25,1.400019635,6,1.5,0.326606257,1.576110894,8.89,3.218010043,2.913813852,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,26,-2.105130343,6,0.1,-2.602059991,-3.105130343,8.65,3.322219295,3.527629901,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,27,-2.105130343,9,0.1,-2.602059991,-3.105130343,8.65,3.322219295,3.176091259,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,28,-2.105130343,10,0.1,-2.602059991,-3.105130343,8.65,3.322219295,3.496929648,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,29,-2.105130343,27,0.1,-2.602059991,-3.105130343,8.65,3.322219295,3.264817823,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,30,-2.105130343,9,0.1,-2.602059991,-3.105130343,8.65,3.322219295,3.342422681,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,31,-1.150887834,17,0.15,-1.948847478,-1.974796575,8.65,3.322219295,3.255272505,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,32,-1.150887834,24,0.15,-1.948847478,-1.974796575,8.65,3.322219295,3.198657087,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,33,-1.150887834,15,0.15,-1.948847478,-1.974796575,8.65,3.322219295,3.06069784,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,34,-1.150887834,24,0.15,-1.948847478,-1.974796575,8.65,3.322219295,3.240549248,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,35,-1.150887834,20,0.15,-1.948847478,-1.974796575,8.65,3.322219295,3.214843848,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,36,6.240549248,39,2,1.84260924,6.541579244,8.03,2.73479983,2.544068044,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,37,6.240549248,41,2,1.84260924,6.541579244,8.3,2.721810615,2.609594409,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,38,6.240549248,54,2,1.84260924,6.541579244,8,2.746634199,2.544068044,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,39,6.240549248,12,2,1.84260924,6.541579244,7.87,2.698970004,2.579783597,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,40,6.240549248,7,2,1.84260924,6.541579244,7.93,2.680335513,2.612783857,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,41,6.240549248,14,2,1.84260924,6.541579244,8.07,2.668385917,2.462397998,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,42,6.240549248,14,2,1.84260924,6.541579244,7.77,2.710117365,2.531478917,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,43,6.240549248,31,2,1.84260924,6.541579244,7.85,2.682145076,2.491361694,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,44,6.240549248,19,2,1.84260924,6.541579244,7.48,2.715167358,2.57634135,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,45,6.240549248,11,2,1.84260924,6.541579244,7.57,2.699837726,2.472756449,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,46,6.240549248,20,2,1.84260924,6.541579244,7.82,2.651278014,2.146128036,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,47,6.240549248,23,2,1.84260924,6.541579244,7.71,2.597695186,2.579783597,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,48,6.240549248,14,2,1.84260924,6.541579244,7.87,2.600972896,2.607455023,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,49,5.959041392,31,1.2,2.322219295,6.038222638,8.49,2.77524626,3.142389466,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,50,5.633468456,40,1,2.135157902,5.633468456,7.88,2.694605199,2.45484486,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,51,5.079181246,49,1.5,1.828761244,5.255272505,7.95,2.716837723,2.517195898,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,52,4.041392685,18,1.5,1.574031268,4.217483944,7.3,2.643452676,2.62324929,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,53,4.041392685,18,1.5,1.574031268,4.217483944,7.6,2.447158031,3.037426498,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,54,5.079181246,40,1.5,1.828761244,5.255272505,8.08,2.666517981,2.69019608,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,55,5.959041392,33,1.2,2.322219295,6.038222638,8.74,2.680335513,2.832508913,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,56,5.633468456,40,1,2.135157902,5.633468456,8.36,2.638489257,2.457881897,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,57,5.689308859,36,0.8,2.053322747,5.592398846,8.27,2.812913357,2.568201724,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,58,5.079181246,40,1.5,1.828761244,5.255272505,8.54,2.691965103,2.549003262,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,59,3.812913357,12,1.6,1.29275747,4.017033339,7.85,2.980457892,3.344392274,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,60,6.481442629,34,3,2.259593879,6.958563883,8.35,2.847572659,2.763427994,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,61,3.812913357,11,1.6,1.29275747,4.017033339,7.64,2.931966115,3.617000341,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,62,4.748188027,18,1.5,1.720159303,4.924279286,7.66,2.819543936,2.397940009,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,63,4.674861141,38,1,1.352641846,4.674861141,8.13,3.025305865,2.612783857,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,64,6.544068044,53,1.5,2.678766618,6.720159303,8.05,2.505149978,2.542825427,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,65,4.544068044,30,2,1.97586632,4.84509804,7.71,2.629409599,1.924795996,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,66,4.748188027,20,1.5,1.720159303,4.924279286,7.85,2.819543936,2.546542663,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,67,5.167317335,24,2.5,1.91204483,5.565257343,7.83,2.478566496,2.264817823,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,68,5.507855872,36,3.2,2.039877996,6.01300585,8.28,2.46686762,1.773054693,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,69,4.924279286,22,1.6,1.9980655,5.128399269,7.84,2.392696953,1.633468456,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,70,6.481442629,27,1.6,6.685562611,6.685562611,8.42,2.526339277,1.999130541,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,71,6.481442629,11,3,2.259593879,6.958563883,8.27,2.811575006,2.900367129,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,72,6.481442629,37,3,2.259593879,6.958563883,8.02,2.78604121,2.475671188,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,73,6.544068044,24,1.5,2.678766618,6.720159303,8.85,2.414639147,2.692846919,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,74,4.544068044,22,2,1.97586632,4.84509804,7.5,2.624282096,1.700703717,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,75,5.167317335,25,2.5,1.91204483,5.565257343,8.75,2.443106457,2.31386722,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,76,5.507855872,33,3.2,2.039877996,6.01300585,8.2,2.477121255,1.787460475,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,77,5.334453751,32,3.6,2.247303575,5.890756252,8.49,2.539076099,1.839478047,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,78,4.544068044,27,2,1.97586632,4.84509804,8,2.582063363,1.665580991,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,79,4.748188027,18,1.5,1.720159303,4.924279286,8.08,2.814913181,2.482873584,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,80,4.924279286,24,1.6,1.9980655,5.128399269,7.7,2.374748346,1.522444234,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,81,6.544068044,44,1.5,2.678766618,6.720159303,8.04,2.472756449,2.618048097,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,82,6.481442629,40,3,2.259593879,6.958563883,8.2,2.788875116,2.630427875,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,83,6.481442629,37,3,2.259593879,6.958563883,8.53,2.80685803,3.029383778,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,84,6.240549248,38,2,1.84260924,6.541579244,8.32,2.584331224,2.444044796,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,85,6.481442629,54,2,2.08350262,6.782472624,8.1,2.790988475,2.63748973,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,86,6.481442629,34,2,2.08350262,6.782472624,8.3,2.791690649,2.996073654,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,87,4.748188027,25,1.5,1.720159303,4.924279286,7.72,2.791690649,2.539076099,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,88,5.167317335,54,2.5,1.91204483,5.565257343,8.25,2.414973348,2.08278537,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,89,5.507855872,39,3.2,2.039877996,6.01300585,8.25,2.471291711,1.882524538,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,90,5.334453751,23,3.6,2.247303575,5.890756252,8.45,2.549003262,1.895422546,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,91,4.924279286,35,1.6,1.9980655,5.128399269,7.54,2.338456494,1.728353782,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,92,6.029383778,50,3.5,2.452877891,6.573451822,8.13,3.008600172,2.544068044,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,93,6.029383778,48,3.5,2.452877891,6.573451822,8.29,3.012837225,2.633468456,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,94,5.959041392,36,1.2,2.322219295,6.038222638,8.3,2.851258349,2.62324929,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,95,5.959041392,13,1.2,2.322219295,6.038222638,9.29,2.789580712,2.813580989,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,96,5.959041392,44,1.2,2.322219295,6.038222638,8.4,2.916980047,2.540329475,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,97,5.633468456,54,1,2.135157902,5.633468456,8.55,2.752048448,2.354108439,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,98,5.689308859,26,0.8,2.053322747,5.592398846,9.15,2.711807229,2.451786436,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,99,4.041392685,9,1.5,1.574031268,4.217483944,7.2,2.587710965,2.414973348,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,100,3.929418926,50,0.9,1.032403086,3.883661435,8.08,2.477121255,3.049218023,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,101,5.167317335,32,2.5,1.91204483,5.565257343,7.73,2.541579244,1.84509804,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,102,4.924279286,49,1.6,1.9980655,5.128399269,8.14,2.507855872,2.447158031,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,103,5.334453751,38,3.6,2.247303575,5.890756252,7.98,2.434568904,2.968482949,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,104,3.929418926,55,0.9,1.032403086,3.883661435,7.99,2.562292864,2.204119983,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,105,5.167317335,52,2.5,1.91204483,5.565257343,7.67,2.525044807,1.954242509,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,106,5.334453751,60,3.6,2.247303575,5.890756252,8.2,2.487138375,1.903089987,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,107,3.812913357,8,1.6,1.29275747,4.017033339,7.55,2.912222057,2.986323777,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,108,4.748188027,18,1.5,1.720159303,4.924279286,7.56,2.884795364,2.477121255,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,109,4.544068044,49,2,1.97586632,4.84509804,7.83,2.678518379,2.477121255,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,110,4.544068044,14,2,1.97586632,4.84509804,7.58,2.670245853,2.255272505,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,111,4.041392685,18,1.5,1.574031268,4.217483944,7.7,2.367355921,2.380211242,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,112,3.812913357,30,1.6,1.29275747,4.017033339,7.21,2.840733235,3.049218023,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,113,5.167317335,19,2.5,1.91204483,5.565257343,8.05,2.575187845,2.62324929,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,114,3.812913357,31,1.6,1.29275747,4.017033339,6.61,2.474216264,2.875061263,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,115,4.924279286,33,1.6,1.9980655,5.128399269,7.28,2.396199347,2.414973348,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,116,5.167317335,29,2.5,1.91204483,5.565257343,7.3,2.571708832,2.477121255,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,117,5.334453751,17,3.6,2.247303575,5.890756252,8.31,2.522444234,2.838849091,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,118,3.929418926,22,0.9,1.032403086,3.883661435,7.58,2.495544338,2.633468456,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,119,3.812913357,16,1.6,1.29275747,4.017033339,7.6,2.613841822,2.977723605,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,120,3.929418926,32,0.9,1.032403086,3.883661435,7.36,2.495544338,3.012837225,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,121,5.167317335,32,2.5,1.91204483,5.565257343,7.52,2.550228353,2.176091259,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,122,5.334453751,40,3.6,2.247303575,5.890756252,7.84,2.507855872,2.69019608,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,123,4.924279286,23,1.6,1.9980655,5.128399269,7.7,2.408239965,2.278753601,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,124,5.334453751,30,3.6,2.247303575,5.890756252,8.1,2.521138084,3.382017043,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,125,4.924279286,36,1.6,1.9980655,5.128399269,7.4,2.537819095,3.334453751,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,126,5.167317335,38,2.5,1.91204483,5.565257343,7.78,2.498310554,2.643452676,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,127,3.929418926,9,0.9,1.032403086,3.883661435,7.57,2.434568904,3.334453751,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,128,8.773786445,12,3.3,3.877327037,9.292300385,8.68,2.86923172,1.462397998,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,129,8.773786445,9,3.3,3.877327037,9.292300385,8.37,2.838849091,1.491361694,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,130,8.773786445,11,3.3,3.877327037,9.292300385,8.61,2.832508913,1.491361694,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,131,8.773786445,9,3.3,3.877327037,9.292300385,8.74,2.826074803,1.568201724,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,132,7.396199347,12,1.5,3.166602819,7.572290606,8.81,3.522444234,1.505149978,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,133,7.396199347,14,1.5,3.166602819,7.572290606,8.3,3.53529412,1.633468456,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,134,8.773786445,14,3.3,3.877327037,9.292300385,7.77,2.880813592,1.176091259,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,135,8.773786445,16,3.3,3.877327037,9.292300385,8.64,2.832508913,1.278753601,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,136,8.773786445,11,3.3,3.877327037,9.292300385,8.81,2.819543936,1.755874856,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,137,8.773786445,14,3.3,3.877327037,9.292300385,8.67,2.826074803,1.505149978,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,138,8.773786445,16,3.3,3.877327037,9.292300385,8.72,2.857332496,1.255272505,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,139,8.773786445,14,3.3,3.877327037,9.292300385,8.86,2.826074803,1.62324929,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,140,8.773786445,15,3.3,3.877327037,9.292300385,8.85,2.792391689,1.602059991,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,141,8.773786445,10,3.3,3.877327037,9.292300385,8.76,2.799340549,1.62324929,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,142,7.396199347,24,1.5,3.166602819,7.572290606,8.92,3.450249108,2.012837225,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,143,7.396199347,23,1.5,3.166602819,7.572290606,8.9,3.457881897,1.857332496,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,144,7.396199347,39,1.5,3.166602819,7.572290606,8.95,3.451786436,1.86923172,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,145,7.396199347,33,1.5,3.166602819,7.572290606,8.99,3.42975228,1.73239376,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,146,7.396199347,20,1.5,3.166602819,7.572290606,8.88,3.442479769,2.079181246,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,147,5.689308859,27,0.8,2.053322747,5.592398846,8.2,2.709269961,2.294466226,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,148,5.633468456,62,1,2.135157902,5.633468456,8.25,2.757396029,2.531478917,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,149,5.959041392,27,1.2,2.322219295,6.038222638,9.06,2.673020907,2.540329475,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,150,5.633468456,37,1,2.135157902,5.633468456,7.95,2.773054693,2.357934847,Aquatic ,In-situ
