"StudyID","DataID","Year","Author","Title","Aquatic_Terrestrial","Fresh_Saline","In_Situ_Lab","Taxa","Archipelago_Type","Expanded_Archipelago_Type","Num_Data_Points","Area_Range (cm2)","RSq","RSqAdj","Theta","K","m0","rho","CriticalArea"
5,17,2017,"Glassman et al","The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale","terra",NA,"in situ","fungi","plant","plant soil",20,"67113.97976 - 1244070.691"," 0.34"," 0.17","     2.30","  1.00",5.09e-08,2984,"491.376193645895"
6,18,2017,"Varbiro et al","Functional redundance modifies species-area relationship for freshwater phytoplankton","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",218,"78.50000782 - 5.94e+12"," 0.02"," 0.01","     0.43"," 21.00",0.000139,3562,"102565483684812505088"
7,19,2016,"Kavazos, C.","Small-scale biogeographic patterns of benthic bacterial and ciliate communities in the saline ponds of natural MacLeod, North-Western Australia","aqua","saline","in situ","bacteria","lacustrine","lacustrine saline",8,"950000 - 71477020000"," 0.51","-0.15","    13.58"," 81.00",2.29e-16,3e+06,"213808220412.589"
7,20,2016,"Kavazos, C.","Small-scale biogeographic patterns of benthic bacterial and ciliate communities in the saline ponds of natural MacLeod, North-Western Australia","aqua","saline","in situ","protozoa","lacustrine","lacustrine saline",8,"950000 - 71477020000"," 0.43","-0.32","     2.09"," 13.00",2.09e-12,184,"101407775548.671"
8,21,2016,"Bolgovics et al","Species-area relationship (SAR) for benthic diatoms: a study on aquatic islands","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",16,"78.52356346 - 5.92e+12"," 0.68"," 0.56","     6.64"," 57.00",1.1e-11,3562,"35751193246.2511"
9,22,2016,"Grossman et al","Molecular investigation of protistan diversity along an elevation transect of alpine naturals","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",29,"6e+06 - 1.38e+11"," 0.40"," 0.30","    10.04","  2.00",1.89e-06,3562,"24.9537738860074"
9,23,2016,"Grossman et al","Molecular investigation of protistan diversity along an elevation transect of alpine naturals","aqua","fresh","in situ","protozoa","lacustrine","lacustrine fresh",29,"6e+06 - 1.38e+11"," 0.29"," 0.18","     0.96","  3.00",2.86e-13,1920,"1327462232.19585"
9,24,2016,"Grossman et al","Molecular investigation of protistan diversity along an elevation transect of alpine naturals","aqua","fresh","in situ","fungi","lacustrine","lacustrine fresh",29,"6e+06 - 1.38e+11"," 0.01","-0.16","     0.17","  6.00",0.000933,1,"37635744748211536"
10,25,2015,"Jean et al","An equilibrium theory signature in the island biogeography of human parasites and pathogens","terra",NA,"in situ","bacteria","terrestrial","terrestrial marine",66,"75603620000 - 6.66e+15"," 0.23"," 0.18","     0.58"," 51.00",1.7e-12,1,"1.07384625127861e+48"
10,26,2015,"Jean et al","An equilibrium theory signature in the island biogeography of human parasites and pathogens","terra",NA,"in situ","pathogen","terrestrial","terrestrial marine",66,"75603620000 - 6.66e+15"," 0.34"," 0.30","     0.54"," 29.00",2.79e-12,1,"2.2353290266999e+33"
10,27,2015,"Jean et al","An equilibrium theory signature in the island biogeography of human parasites and pathogens","terra",NA,"in situ","fungi","terrestrial","terrestrial marine",66,"75603620000 - 6.66e+15"," 0.27"," 0.22","     0.23","  7.00",5.64e-15,1,"1.90273166050523e+25"
10,28,2015,"Jean et al","An equilibrium theory signature in the island biogeography of human parasites and pathogens","terra",NA,"in situ","protozoa","terrestrial","terrestrial marine",66,"75603620000 - 6.66e+15"," 0.36"," 0.32","     0.28","  9.00",3.31e-13,1,"2.22755687978248e+24"
10,29,2015,"Jean et al","An equilibrium theory signature in the island biogeography of human parasites and pathogens","terra",NA,"in situ","pathogen","terrestrial","terrestrial marine",66,"75603620000 - 6.66e+15"," 0.35"," 0.31","     2.53"," 17.00",1.44e-15,1,"42380013776084424"
11,30,2014,"Cashdan, E.","Biogeography of Human Infectious Diseases: A Global Historical Analysis","terra",NA,"in situ","pathogen","terrestrial","terrestrial marine",41,"8e+08 - 7.86e+15"," 0.05","-0.05","     0.14","  4.00",2.17e-14,1,"1.37842112462933e+24"
12,31,2013,"Lepere et al","Geographic distance and ecosystem size determine the distribution of smallest protists in lacustrine ecosystems","aqua","fresh","in situ","protozoa","lacustrine","lacustrine fresh",6,"1.38e+09 - 4.45e+11"," 0.59","-1.04","    11.43","  1.00",1.7e-09,5720,"5311.80061566796"
13,32,2012,"Rengefors et al. ","Polar naturals may act as ecological islands to aquatic protist","aqua","fresh","in situ","algae","lacustrine","lacustrine saline",4,"6.3e+08 - 3.67e+09"," 0.44"," 2.69","     7.20","  1.00",1.65e-12,4850,"4934405.48400668"
14,33,2012,"feinstein & blackwood","Taxa-area Relationship and Neutral Dynamics Influence the Diversity of Fungal Communities on Senesced Tree Leaves","terra",NA,"in situ","fungi","plant","plant leaf",12,"10.113 - 63.745","-3.68","-6.35","    47.46","  5.00",1.73,1,"4.05793439724216"
15,34,2011,"Stomp et al","Large- scale biodiversity patterns in freshwater phytoplankton","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",539,"1e+09 - 1.89e+13"," 0.01"," 0.00","     0.77"," 25.00",4.09e-13,3562,"2.68531547162752e+21"
16,35,2011,"Orrock et al","Biogeographic and ecological regulation of disease: prevalence of sin nombre pathogen in island mice is related to island area, precipitation, and predator richness","terra",NA,"in situ","pathogen","terrestrial","terrestrial marine",8,"2.58e+10 - 2.5e+12"," 0.40","-0.39"," 98817.44","  1.00",3.32e-13,1,"104892911117.321"
17,36,2011,"barbera & casamayor","Euxinic Freshwater Hypolimnia Promote Bacterial Endemicity in Continental Areas","aqua","fresh","in situ","bacteria","lacustrine","lacustrine fresh",12,"16000000 - 3.29e+14"," 0.33","-0.05","     1.87","  1.00",1.85e-13,11550000,"21078.8417469806"
17,37,2011,"barbera & casamayor","Euxinic Freshwater Hypolimnia Promote Bacterial Endemicity in Continental Areas","aqua","fresh","in situ","bacteria","lacustrine","lacustrine fresh",12,"16000000 - 3.29e+14"," 0.14","-0.35","     0.92","  1.00",4.43e-12,11550000,"1357.51568266775"
18,38,2007,"Peay et al","A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi","terra",NA,"in situ","fungi","plant","plant soil",12,"20000 - 704930000"," 0.86"," 0.77","     2.31","  3.00",1.16e-13,6900000,"258821.169586364"
19,39,2006,"Van der gast et al","Bacterial diversity is determined by volume in membrane bioreactors","aqua","fresh","in situ","bacteria","machine","machine",7,"15874.00926 - 2452190.32"," 0.96"," 0.88","     9.20","  7.00",4.97e-16,22890625000,"26182.0894818667"
20,40,2005,"Bell et al","Larger Islands House More Bacterial Taxa","aqua","fresh","in situ","bacteria","lacustrine","lacustrine fresh",29,"78.53981634 - 2642.079422"," 0.47"," 0.38","     7.35","  6.00",4.57e-09,490000,"215.829540908141"
21,41,2005,"Reche et al","Does ecosytem size determine aquatic bacterial richness?","aqua","fresh","in situ","bacteria","lacustrine","lacustrine fresh",11,"1e+06 - 2.1e+08"," 0.23","-0.28","     0.58","  1.00",3.12e-12,11550000,"2820.11953971098"
22,42,2005,"van der gast et al","Island size and bacterial diversity in an archipelago of engineering machines","aqua","fresh","in situ","bacteria","machine","machine",15,"436.5158322 - 3211.194909"," 0.78"," 0.69","     7.03","  1.00",7.97e-14,22890625000,"19.5236786641622"
22,43,2005,"van der gast et al","Island size and bacterial diversity in an archipelago of engineering machines","aqua","fresh","in situ","bacteria","machine","machine",13,"436.5158322 - 3211.194909"," 0.89"," 0.83","     6.04","  1.00",1.15e-13,22890625000,"13.8189238072139"
22,44,2005,"van der gast et al","Island size and bacterial diversity in an archipelago of engineering machines","aqua","fresh","in situ","bacteria","machine","machine",15,"436.5158322 - 3211.194909"," 0.84"," 0.78","     7.31","  1.00",8.74e-14,22890625000,"17.8218040765518"
23,45,2005,"karatayev et al","Community analysis of Belarusian lakes: relationship of species diversity to morphology, hydrology and land use","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",541,"500 - 576500"," 0.10"," 0.09","     6.05"," 35.00",7.24e-07,3562,"53828.9723931675"
24,46,1988,"mccormick et al","A Comparison of Protozoan, Algal, and Metazoan Colonization of Artificial Substrates of Differing Size","aqua","fresh","in situ","protozoa","riverine","riverine",4,"1 - 34.19951893"," 0.95"," 1.15"," 15600.84"," 34.00",8.66e-06,5720,"58.9703213981164"
24,47,1988,"mccormick et al","A Comparison of Protozoan, Algal, and Metazoan Colonization of Artificial Substrates of Differing Size","aqua","fresh","in situ","algae","riverine","riverine",4,"1 - 34.19951893"," 0.93"," 1.20","     4.78"," 46.00",0.00561,3562,"687.335426121115"
25,48,1987,"wildman","Fungal colonization of resources in soil — An island biogeographical approach","terra",NA,"in situ","fungi","terrestrial","soil lab",5,"0.04 - 10.24"," 0.99"," -Inf","     2.50","  2.00",9.99e-06,100000,"0.266553190654296"
26,49,1967,"patrick r","The effect of invasion rate, species pool, and size of area on the structure of the diatom community","aqua","fresh","in situ","algae","riverine","riverine",7,"0.09 - 6.25"," 0.16","-1.51","     1.26"," 31.00",1.18,3562,"16717459.0093442"
26,50,1967,"patrick r","The effect of invasion rate, species pool, and size of area on the structure of the diatom community","aqua","fresh","in situ","algae","riverine","riverine",8,"1.44 - 6.25"," 0.39","-0.42","     7.45","  1.00",0.00947,3562,"0.0067433726534509"
