"studyID","datasetID","year","author","title","obtained","area_metric","log_area","depth_metric","log_depth","volume_metric","log_volume","distance_metric","log_distance","sp_rich_metric","log_sp_rich","aqua_terra","fresh_saline","in_situ_lab","natural_modified","taxa","archipelago_type","expanded_archipelago_type","geographic_location","local_location","sample","DNI","NDM","depth_original","volume_original","area_original","species_original","volume","area","species","depth","rho","Depth_Area","logArea","SpearmansCC"
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","20",60,3547,10,NA,9856,6732,985600000,98560000,6732,10,14742,"Area",18.4061760577495,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","21",15,1099,10,NA,13071,8629,1307100000,130710000,8629,10,14742,"Area",18.6884916867617,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","22",11,2494,10,NA,13172,10464,1317200000,131720000,10464,10,14742,"Area",18.6961890154724,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","23",53,1046,10,NA,13264,9397,1326400000,132640000,9397,10,14742,"Area",18.7031492493513,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","24",16,2576,10,NA,25619,8950,2561900000,256190000,8950,10,14742,"Area",19.3614299146589,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","25",30,2588,10,NA,36958,8894,3695800000,369580000,8894,10,14742,"Area",19.7278777837136,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","26",71,2164,10,NA,97930,10813,9.793e+09,979300000,10813,10,14742,"Area",20.702348588691,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","27",67,1939,10,NA,274942,9200,27494200000,2749420000,9200,10,14742,"Area",21.7346558172895,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","28",32,950,10,NA,479759,10043,47975900000,4797590000,10043,10,14742,"Area",22.2913795454409,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","29",17,884,10,NA,11538756,11354,1.15e+12,1.15e+11,11354,10,14742,"Area",25.4681979653097,0.935467980295566
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","1",15,1160,10,NA,815,624,81500000,8150000,624,10,7411,"Area",15.913528485217,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","2",15,2567,10,NA,1197,1301,119700000,11970000,1301,10,7411,"Area",16.2979140775342,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","3",18,725,10,NA,1396,1416,139600000,13960000,1416,10,7411,"Area",16.4517066552985,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","4",11,2511,10,NA,1870,1196,1.87e+08,18700000,1196,10,7411,"Area",16.7440340818248,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","5",18,694,10,NA,1890,1466,1.89e+08,18900000,1466,10,7411,"Area",16.7546724800299,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","6",136,3725,10,NA,2538,1743,253800000,25380000,1743,10,7411,"Area",17.0494720202505,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","7",15,3044,10,NA,2550,1301,2.55e+08,25500000,1301,10,7411,"Area",17.0541890101287,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","8",90,3040,10,NA,2878,1675,287800000,28780000,1675,10,7411,"Area",17.1751912594235,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","9",15,2615,10,NA,3645,1812,364500000,36450000,1812,10,7411,"Area",17.4114520164189,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","10",26,3205,10,NA,3949,2576,394900000,39490000,2576,10,7411,"Area",17.4915580332628,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","11",34,1228,10,NA,4160,2209,4.16e+08,41600000,2209,10,7411,"Area",17.5436107252315,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","12",121,2106,10,NA,4638,1842,463800000,46380000,1842,10,7411,"Area",17.6523788897917,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","13",28,2363,10,NA,5307,1896,530700000,53070000,1896,10,7411,"Area",17.7871223548041,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","14",78,2321,10,NA,6181,1760,618100000,61810000,1760,10,7411,"Area",17.9395757216355,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","15",66,2128,10,NA,6876,2688,687600000,68760000,2688,10,7411,"Area",18.0461327384789,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","16",15,3043,10,NA,7880,2059,7.88e+08,78800000,2059,10,7411,"Area",18.1824235548281,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","17",62,893,10,NA,8388,2258,838800000,83880000,2258,10,7411,"Area",18.244897763998,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","18",16,2471,10,NA,8542,2635,854200000,85420000,2635,10,7411,"Area",18.2630908233776,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","19",23,3359,10,NA,8625,2831,862500000,86250000,2831,10,7411,"Area",18.2727606138757,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","20",60,3547,10,NA,9856,2156,985600000,98560000,2156,10,7411,"Area",18.4061760577495,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","21",15,1099,10,NA,13071,3213,1307100000,130710000,3213,10,7411,"Area",18.6884916867617,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","22",11,2494,10,NA,13172,2765,1317200000,131720000,2765,10,7411,"Area",18.6961890154724,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","23",53,1046,10,NA,13264,2681,1326400000,132640000,2681,10,7411,"Area",18.7031492493513,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","24",16,2576,10,NA,25619,3555,2561900000,256190000,3555,10,7411,"Area",19.3614299146589,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","25",30,2588,10,NA,36958,3161,3695800000,369580000,3161,10,7411,"Area",19.7278777837136,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","26",71,2164,10,NA,97930,3390,9.793e+09,979300000,3390,10,7411,"Area",20.702348588691,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","27",67,1939,10,NA,274942,3364,27494200000,2749420000,3364,10,7411,"Area",21.7346558172895,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","28",32,950,10,NA,479759,3719,47975900000,4797590000,3719,10,7411,"Area",22.2913795454409,0.939770914875575
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","fungi","terrestrial","terrestrial freshwater","china","thousand island natural","29",17,884,10,NA,11538756,3866,1.15e+12,1.15e+11,3866,30,45000,"Depth",25.4681979653097,0.939770914875575
2,3,2019,"Battes et al","Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)","author","ha","no","m","no",NA,NA,NA,NA,"taxa","no","aqua","fresh","in situ","modified","algae","lacustrine","lacustrine fresh","romania","lake nasal",NA,NA,NA,4,NA,8,42,3.2e+11,8e+08,42,30,45000,"Depth",20.5001222856322,0.158536585365854
2,3,2019,"Battes et al","Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)","author","ha","no","m","no",NA,NA,NA,NA,"taxa","no","aqua","fresh","in situ","modified","algae","lacustrine","lacustrine fresh","romania","lake rosieni",NA,NA,NA,2,NA,18,84,3.6e+11,1.8e+09,84,30,45000,"Depth",21.3110525018485,0.158536585365854
2,3,2019,"Battes et al","Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)","author","ha","no","m","no",NA,NA,NA,NA,"taxa","no","aqua","fresh","in situ","modified","algae","lacustrine","lacustrine fresh","romania","lake suctard 1",NA,NA,NA,2,NA,30,92,6e+11,3e+09,92,30,45000,"Depth",21.8218781256145,0.158536585365854
2,3,2019,"Battes et al","Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)","author","ha","no","m","no",NA,NA,NA,NA,"taxa","no","aqua","fresh","in situ","modified","algae","lacustrine","lacustrine fresh","romania","lake catina",NA,NA,NA,2,NA,45,92,9e+11,4.5e+09,92,30,45000,"Depth",22.2273432337227,0.158536585365854
2,3,2019,"Battes et al","Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)","author","ha","no","m","no",NA,NA,NA,NA,"taxa","no","aqua","fresh","in situ","modified","algae","lacustrine","lacustrine fresh","romania","lake stiucii",NA,NA,NA,7,NA,35,96,2.45e+12,3.5e+09,96,30,45000,"Depth",21.9760288054418,0.158536585365854
2,3,2019,"Battes et al","Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)","author","ha","no","m","no",NA,NA,NA,NA,"taxa","no","aqua","fresh","in situ","modified","algae","lacustrine","lacustrine fresh","romania","lake geaca II",NA,NA,NA,2,NA,15,97,3e+11,1.5e+09,97,30,45000,"Depth",21.1287309450546,0.158536585365854
2,3,2019,"Battes et al","Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)","author","ha","no","m","no",NA,NA,NA,NA,"taxa","no","aqua","fresh","in situ","modified","algae","lacustrine","lacustrine fresh","romania","lake sfantu florian",NA,NA,NA,2,NA,8,102,1.6e+11,8e+08,102,30,45000,"Depth",20.5001222856322,0.158536585365854
2,3,2019,"Battes et al","Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)","author","ha","no","m","no",NA,NA,NA,NA,"taxa","no","aqua","fresh","in situ","modified","algae","lacustrine","lacustrine fresh","romania","lake taga mare",NA,NA,NA,2,NA,95,104,1.9e+12,9.5e+09,104,30,45000,"Depth",22.9745576355529,0.158536585365854
2,3,2019,"Battes et al","Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)","author","ha","no","m","no",NA,NA,NA,NA,"taxa","no","aqua","fresh","in situ","modified","algae","lacustrine","lacustrine fresh","romania","lake suctard 2",NA,NA,NA,2.5,NA,40,113,1e+12,4e+09,113,30,45000,"Depth",22.1095601980663,0.158536585365854
2,3,2019,"Battes et al","Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)","author","ha","no","m","no",NA,NA,NA,NA,"taxa","no","aqua","fresh","in situ","natural","algae","lacustrine","lacustrine fresh","romania","lake geaca III",NA,NA,NA,2,NA,10,120,2e+11,1e+09,120,30,45000,"Depth",20.7232658369464,0.158536585365854
3,4,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","author","cm2","no",NA,NA,NA,NA,NA,NA,"OTUs","no","aqua","saline","in situ","natural","bacteria","lacustrine","cryoconite","antarctica","Canada","caa001cryo",NA,NA,30,NA,615.7521601,708,18472.5648,615.7521601,708,30,45000,"Depth",6.42284454507407,0.156587640857932
3,4,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","author","cm2","no",NA,NA,NA,NA,NA,NA,"OTUs","no","aqua","saline","in situ","natural","bacteria","lacustrine","cryoconite","antarctica","Canada","caa002cryo",NA,NA,30,NA,572.5552611,734,17176.65783,572.5552611,734,30,45000,"Depth",6.35010925670893,0.156587640857932
3,4,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","author","cm2","no",NA,NA,NA,NA,NA,NA,"OTUs","no","aqua","saline","in situ","natural","bacteria","lacustrine","cryoconite","antarctica","Canada","caa003cryo",NA,NA,30,NA,530.9291585,534,15927.87476,530.9291585,534,30,45000,"Depth",6.27462860085408,0.156587640857932
3,4,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","author","cm2","no",NA,NA,NA,NA,NA,NA,"OTUs","no","aqua","saline","in situ","natural","bacteria","lacustrine","cryoconite","antarctica","Canada","caa004cryo",NA,NA,30,NA,452.3893421,772,13571.68026,452.3893421,772,30,45000,"Depth",6.11454318538798,0.156587640857932
3,4,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","author","cm2","no",NA,NA,NA,NA,NA,NA,"OTUs","no","aqua","saline","in situ","natural","bacteria","lacustrine","cryoconite","antarctica","Canada","caa005cryo",NA,NA,30,NA,261.5866758,652,7847.600274,261.5866758,652,30,45000,"Depth",5.56676568479965,0.156587640857932
3,4,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","author","cm2","no",NA,NA,NA,NA,NA,NA,"OTUs","no","aqua","saline","in situ","natural","bacteria","lacustrine","cryoconite","antarctica","Canada","caa006cryo",NA,NA,30,NA,397.6078202,698,11928.23461,397.6078202,698,30,45000,"Depth",5.98546614310006,0.156587640857932
3,4,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","author","cm2","no",NA,NA,NA,NA,NA,NA,"OTUs","no","aqua","saline","in situ","natural","bacteria","lacustrine","cryoconite","antarctica","Canada","caa007cryo",NA,NA,30,NA,397.6078202,562,11928.23461,397.6078202,562,30,45000,"Depth",5.98546614310006,0.156587640857932
