"","arch_num","theta","niches","immigration","area","species","model_species","difference"
"68",3,101010.090909091,3,0.003,24,5.5,3.18,2.32
"69",3,101010.090909091,3,0.003,27,4.1,3.22,0.879999999999999
"70",3,101010.090909091,3,0.003,30,4,3.25,0.75
"71",3,101010.090909091,3,0.003,33,4.9,3.29,1.61
"72",3,101010.090909091,3,0.003,36,4,3.32,0.68
"73",3,101010.090909091,3,0.003,39,3.8,3.36,0.44
"74",3,101010.090909091,3,0.003,42,4.8,3.39,1.41
"75",3,101010.090909091,3,0.003,45,4.5,3.43,1.07
"76",3,101010.090909091,3,0.003,48,4.6,3.47,1.13
"77",3,101010.090909091,3,0.003,51,4.2,3.51,0.69
"78",3,101010.090909091,3,0.003,54,5.4,3.55,1.85
"79",3,101010.090909091,3,0.003,57,3.4,3.58,-0.18
"80",3,101010.090909091,3,0.003,60,4.2,3.62,0.58
"81",3,101010.090909091,3,0.003,63,4.7,3.66,1.04
"82",3,101010.090909091,3,0.003,66,3.3,3.7,-0.4
"83",3,101010.090909091,3,0.003,69,5.2,3.74,1.46
"84",3,101010.090909091,3,0.003,72,7.3,3.79,3.51
"85",3,101010.090909091,3,0.003,75,4.6,3.83,0.77
"86",3,101010.090909091,3,0.003,78,5.4,3.87,1.53
"87",3,101010.090909091,3,0.003,81,7.3,3.91,3.39
"88",3,101010.090909091,3,0.003,84,4.8,3.95,0.85
"89",3,101010.090909091,3,0.003,87,4.3,3.99,0.31
"90",3,101010.090909091,3,0.003,90,5.6,4.04,1.56
"91",4,101010.090909091,4,0.003,4,11.2,4,7.2
"92",4,101010.090909091,4,0.003,8,9.4,4.02,5.38
"93",4,101010.090909091,4,0.003,12,7.2,4.05,3.15
"94",4,101010.090909091,4,0.003,16,6.8,4.09,2.71
"95",4,101010.090909091,4,0.003,20,5.7,4.12,1.58
"96",4,101010.090909091,4,0.003,24,6.8,4.16,2.64
"97",4,101010.090909091,4,0.003,28,6.7,4.2,2.5
"98",4,101010.090909091,4,0.003,32,7.2,4.25,2.95
"99",4,101010.090909091,4,0.003,36,7.9,4.29,3.61
"100",4,101010.090909091,4,0.003,40,5,4.34,0.66
"101",4,101010.090909091,4,0.003,44,7.4,4.38,3.02
"102",4,101010.090909091,4,0.003,48,7.3,4.43,2.87
"103",4,101010.090909091,4,0.003,52,4.9,4.48,0.42
"104",4,101010.090909091,4,0.003,56,4.9,4.53,0.37
"105",4,101010.090909091,4,0.003,60,6.1,4.57,1.53
"106",4,101010.090909091,4,0.003,64,8.1,4.62,3.48
"107",4,101010.090909091,4,0.003,68,6.1,4.68,1.42
"108",4,101010.090909091,4,0.003,72,6.5,4.73,1.77
"109",4,101010.090909091,4,0.003,76,5.9,4.78,1.12
"110",4,101010.090909091,4,0.003,80,5.2,4.83,0.37
"111",4,101010.090909091,4,0.003,84,8.2,4.88,3.32
"112",4,101010.090909091,4,0.003,88,6.3,4.94,1.36
"113",4,101010.090909091,4,0.003,92,8.1,4.99,3.11
"114",4,101010.090909091,4,0.003,96,6.6,5.05,1.55
"115",4,101010.090909091,4,0.003,100,7.9,5.1,2.8
"116",4,101010.090909091,4,0.003,104,8.2,5.16,3.04
"117",4,101010.090909091,4,0.003,108,5.9,5.21,0.69
"118",4,101010.090909091,4,0.003,112,6.9,5.27,1.63
"119",4,101010.090909091,4,0.003,116,8.1,5.32,2.78
"120",4,101010.090909091,4,0.003,120,8.5,5.38,3.12
"121",5,101010.090909091,5,0.003,5,12.8,5,7.8
"122",5,101010.090909091,5,0.003,10,10.5,5.03,5.47
"123",5,101010.090909091,5,0.003,15,11.5,5.07,6.43
"124",5,101010.090909091,5,0.003,20,11,5.11,5.89
"125",5,101010.090909091,5,0.003,25,10.9,5.16,5.74
"126",5,101010.090909091,5,0.003,30,10.8,5.2,5.6
"127",5,101010.090909091,5,0.003,35,9,5.25,3.75
"128",5,101010.090909091,5,0.003,40,9.3,5.31,3.99
"129",5,101010.090909091,5,0.003,45,7.7,5.36,2.34
"130",5,101010.090909091,5,0.003,50,8.1,5.42,2.68
"131",5,101010.090909091,5,0.003,55,9.2,5.48,3.72
"132",5,101010.090909091,5,0.003,60,7.9,5.54,2.36
"133",5,101010.090909091,5,0.003,65,6.5,5.6,0.9
"134",5,101010.090909091,5,0.003,70,7.9,5.66,2.24
"135",5,101010.090909091,5,0.003,75,8.2,5.72,2.48
"136",5,101010.090909091,5,0.003,80,10.3,5.78,4.52
"137",5,101010.090909091,5,0.003,85,7.1,5.84,1.26
"138",5,101010.090909091,5,0.003,90,8.4,5.91,2.49
"139",5,101010.090909091,5,0.003,95,6.6,5.97,0.63
"140",5,101010.090909091,5,0.003,100,7.3,6.04,1.26
"141",5,101010.090909091,5,0.003,105,9.3,6.11,3.19
"142",5,101010.090909091,5,0.003,110,8.1,6.17,1.93
"143",5,101010.090909091,5,0.003,115,7.8,6.24,1.56
"144",5,101010.090909091,5,0.003,120,7.7,6.31,1.39
"145",5,101010.090909091,5,0.003,125,8.4,6.38,2.02
"146",5,101010.090909091,5,0.003,130,12,6.45,5.55
"147",5,101010.090909091,5,0.003,135,9,6.52,2.48
"148",5,101010.090909091,5,0.003,140,5.9,6.59,-0.69
"149",5,101010.090909091,5,0.003,145,9,6.66,2.34
"150",5,101010.090909091,5,0.003,150,9.3,6.73,2.57
"151",6,101010.090909091,6,0.003,6,17,6,11
"152",6,101010.090909091,6,0.003,12,17.7,6.04,11.66
"153",6,101010.090909091,6,0.003,18,12.7,6.08,6.62
"154",6,101010.090909091,6,0.003,24,13.8,6.13,7.67
"155",6,101010.090909091,6,0.003,30,13.6,6.19,7.41
"156",6,101010.090909091,6,0.003,36,9,6.24,2.76
"157",6,101010.090909091,6,0.003,42,8.3,6.31,1.99
"158",6,101010.090909091,6,0.003,48,11.7,6.37,5.33
"159",6,101010.090909091,6,0.003,54,8.6,6.44,2.16
"160",6,101010.090909091,6,0.003,60,7.5,6.5,1
"161",6,101010.090909091,6,0.003,66,12.7,6.57,6.13
"162",6,101010.090909091,6,0.003,72,7.7,6.64,1.06
"163",6,101010.090909091,6,0.003,78,9.4,6.71,2.69
"164",6,101010.090909091,6,0.003,84,9.2,6.79,2.41
"165",6,101010.090909091,6,0.003,90,9.6,6.86,2.74
"166",6,101010.090909091,6,0.003,96,9.4,6.94,2.46
"167",6,101010.090909091,6,0.003,102,8.3,7.01,1.29
"168",6,101010.090909091,6,0.003,108,11.5,7.09,4.41
"169",6,101010.090909091,6,0.003,114,10,7.17,2.83
"170",6,101010.090909091,6,0.003,120,10.8,7.25,3.55
"171",6,101010.090909091,6,0.003,126,10.5,7.33,3.17
"172",6,101010.090909091,6,0.003,132,9.6,7.41,2.19
"173",6,101010.090909091,6,0.003,138,9.1,7.49,1.61
"174",6,101010.090909091,6,0.003,144,10.4,7.57,2.83
"175",6,101010.090909091,6,0.003,150,11,7.65,3.35
"176",6,101010.090909091,6,0.003,156,11.6,7.74,3.86
"177",6,101010.090909091,6,0.003,162,11.3,7.82,3.48
"178",6,101010.090909091,6,0.003,168,10.4,7.9,2.5
"179",6,101010.090909091,6,0.003,174,11.1,7.99,3.11
"180",6,101010.090909091,6,0.003,180,10.6,8.07,2.53
"181",7,101010.090909091,7,0.003,7,17.1,7,10.1
"182",7,101010.090909091,7,0.003,14,19.7,7.04,12.66
"183",7,101010.090909091,7,0.003,21,15.9,7.09,8.81
"184",7,101010.090909091,7,0.003,28,16.7,7.15,9.55
"185",7,101010.090909091,7,0.003,35,13.3,7.22,6.08
"186",7,101010.090909091,7,0.003,42,17.9,7.29,10.61
"187",7,101010.090909091,7,0.003,49,12.7,7.36,5.34
"188",7,101010.090909091,7,0.003,56,12.9,7.43,5.47
"189",7,101010.090909091,7,0.003,63,14.6,7.51,7.09
"190",7,101010.090909091,7,0.003,70,12.9,7.59,5.31
"191",7,101010.090909091,7,0.003,77,11.4,7.67,3.73
"192",7,101010.090909091,7,0.003,84,9.8,7.75,2.05
"193",7,101010.090909091,7,0.003,91,10.5,7.83,2.67
"194",7,101010.090909091,7,0.003,98,11.1,7.92,3.18
"195",7,101010.090909091,7,0.003,105,10.1,8.01,2.09
"196",7,101010.090909091,7,0.003,112,9.8,8.09,1.71
"197",7,101010.090909091,7,0.003,119,9.2,8.18,1.02
"198",7,101010.090909091,7,0.003,126,13.2,8.27,4.93
"199",7,101010.090909091,7,0.003,133,10.1,8.36,1.74
"200",7,101010.090909091,7,0.003,140,11.5,8.46,3.04
"201",7,101010.090909091,7,0.003,147,10.4,8.55,1.85
"202",7,101010.090909091,7,0.003,154,13.1,8.64,4.46
"203",7,101010.090909091,7,0.003,161,11.6,8.74,2.86
"204",7,101010.090909091,7,0.003,168,10.2,8.83,1.37
"205",7,101010.090909091,7,0.003,175,10.6,8.93,1.67
"206",7,101010.090909091,7,0.003,182,9.9,9.02,0.880000000000001
"207",7,101010.090909091,7,0.003,189,10.5,9.12,1.38
"208",7,101010.090909091,7,0.003,196,9.9,9.22,0.68
"209",7,101010.090909091,7,0.003,203,13.2,9.32,3.88
"210",7,101010.090909091,7,0.003,210,11.5,9.42,2.08
"211",8,101010.090909091,8,0.003,8,25.2,8,17.2
"212",8,101010.090909091,8,0.003,16,21.1,8.05,13.05
"213",8,101010.090909091,8,0.003,24,15.8,8.11,7.69
"214",8,101010.090909091,8,0.003,32,15.6,8.17,7.43
"215",8,101010.090909091,8,0.003,40,13.9,8.25,5.65
"216",8,101010.090909091,8,0.003,48,16.5,8.33,8.17
"217",8,101010.090909091,8,0.003,56,16,8.41,7.59
"218",8,101010.090909091,8,0.003,64,15.8,8.49,7.31
"219",8,101010.090909091,8,0.003,72,13.6,8.58,5.02
"220",8,101010.090909091,8,0.003,80,11.4,8.67,2.73
"221",8,101010.090909091,8,0.003,88,11.5,8.76,2.74
"222",8,101010.090909091,8,0.003,96,12,8.86,3.14
"223",8,101010.090909091,8,0.003,104,14.9,8.95,5.95
"224",8,101010.090909091,8,0.003,112,12,9.05,2.95
"225",8,101010.090909091,8,0.003,120,11.3,9.15,2.15
"226",8,101010.090909091,8,0.003,128,12.5,9.25,3.25
"227",8,101010.090909091,8,0.003,136,11.1,9.35,1.75
"228",8,101010.090909091,8,0.003,144,10.1,9.45,0.65
"229",8,101010.090909091,8,0.003,152,12.8,9.56,3.24
"230",8,101010.090909091,8,0.003,160,16.4,9.66,6.74
"231",8,101010.090909091,8,0.003,168,12.4,9.77,2.63
"232",8,101010.090909091,8,0.003,176,13.1,9.88,3.22
"233",8,101010.090909091,8,0.003,184,13.5,9.99,3.51
"234",8,101010.090909091,8,0.003,192,16,10.09,5.91
"235",8,101010.090909091,8,0.003,200,14.7,10.2,4.5
"236",8,101010.090909091,8,0.003,208,13.4,10.31,3.09
"237",8,101010.090909091,8,0.003,216,14.4,10.42,3.98
"238",8,101010.090909091,8,0.003,224,11.7,10.54,1.16
"239",8,101010.090909091,8,0.003,232,13.1,10.65,2.45
"240",8,101010.090909091,8,0.003,240,14.2,10.76,3.44
"241",9,101010.090909091,9,0.003,9,27.4,9,18.4
"242",9,101010.090909091,9,0.003,18,20.1,9.05,11.05
"243",9,101010.090909091,9,0.003,27,19.2,9.12,10.08
"244",9,101010.090909091,9,0.003,36,21.7,9.2,12.5
"245",9,101010.090909091,9,0.003,45,19.8,9.28,10.52
"246",9,101010.090909091,9,0.003,54,15.3,9.37,5.93
"247",9,101010.090909091,9,0.003,63,12.7,9.46,3.24
"248",9,101010.090909091,9,0.003,72,18,9.55,8.45
"249",9,101010.090909091,9,0.003,81,17.4,9.65,7.75
"250",9,101010.090909091,9,0.003,90,15.2,9.75,5.45
"251",9,101010.090909091,9,0.003,99,13.4,9.86,3.54
"252",9,101010.090909091,9,0.003,108,15.1,9.96,5.14
"253",9,101010.090909091,9,0.003,117,14.7,10.07,4.63
"254",9,101010.090909091,9,0.003,126,12.9,10.18,2.72
"255",9,101010.090909091,9,0.003,135,14.5,10.29,4.21
"256",9,101010.090909091,9,0.003,144,16.5,10.41,6.09
"257",9,101010.090909091,9,0.003,153,16.2,10.52,5.68
"258",9,101010.090909091,9,0.003,162,17,10.64,6.36
"259",9,101010.090909091,9,0.003,171,17,10.75,6.25
"260",9,101010.090909091,9,0.003,180,13.4,10.87,2.53
"261",9,101010.090909091,9,0.003,189,15.4,10.99,4.41
"262",9,101010.090909091,9,0.003,198,21.4,11.11,10.29
"263",9,101010.090909091,9,0.003,207,14.2,11.23,2.97
"264",9,101010.090909091,9,0.003,216,12.1,11.36,0.74
"265",9,101010.090909091,9,0.003,225,13.7,11.48,2.22
"266",9,101010.090909091,9,0.003,234,16.5,11.6,4.9
"267",9,101010.090909091,9,0.003,243,17.2,11.73,5.47
"268",9,101010.090909091,9,0.003,252,15.7,11.85,3.85
"269",9,101010.090909091,9,0.003,261,16.6,11.98,4.62
"270",9,101010.090909091,9,0.003,270,16.2,12.11,4.09
"271",10,101010.090909091,10,0.003,10,26.2,10,16.2
"272",10,101010.090909091,10,0.003,20,27.5,10.06,17.44
"273",10,101010.090909091,10,0.003,30,23.1,10.13,12.97
"274",10,101010.090909091,10,0.003,40,21.8,10.22,11.58
"275",10,101010.090909091,10,0.003,50,17.9,10.31,7.59
"276",10,101010.090909091,10,0.003,60,19.1,10.41,8.69
"277",10,101010.090909091,10,0.003,70,19.5,10.51,8.99
"278",10,101010.090909091,10,0.003,80,17,10.62,6.38
"279",10,101010.090909091,10,0.003,90,18.1,10.73,7.37
"280",10,101010.090909091,10,0.003,100,14.9,10.84,4.06
"281",10,101010.090909091,10,0.003,110,17.3,10.95,6.35
"282",10,101010.090909091,10,0.003,120,15.4,11.07,4.33
"283",10,101010.090909091,10,0.003,130,18.7,11.19,7.51
"284",10,101010.090909091,10,0.003,140,19.4,11.31,8.09
"285",10,101010.090909091,10,0.003,150,18.8,11.44,7.36
"286",10,101010.090909091,10,0.003,160,17.7,11.56,6.14
"287",10,101010.090909091,10,0.003,170,18.4,11.69,6.71
"288",10,101010.090909091,10,0.003,180,17.1,11.82,5.28
"289",10,101010.090909091,10,0.003,190,15,11.95,3.05
"290",10,101010.090909091,10,0.003,200,15,12.08,2.92
"291",10,101010.090909091,10,0.003,210,12.6,12.21,0.389999999999999
"292",10,101010.090909091,10,0.003,220,15.8,12.35,3.45
"293",10,101010.090909091,10,0.003,230,18,12.48,5.52
"294",10,101010.090909091,10,0.003,240,17,12.62,4.38
"295",10,101010.090909091,10,0.003,250,16.5,12.75,3.75
"296",10,101010.090909091,10,0.003,260,18,12.89,5.11
"297",10,101010.090909091,10,0.003,270,18.2,13.03,5.17
"298",10,101010.090909091,10,0.003,280,17.1,13.17,3.93
"299",10,101010.090909091,10,0.003,290,22.2,13.31,8.89
"300",10,101010.090909091,10,0.003,300,17.5,13.45,4.05
